Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Luogo e Provincia di nascita;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.LUOGO_E_PROVINCIA_DI_NASCITA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Data Di Nascita;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.DATA_DI_NASCITA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Nazionalità;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.NAZIONALITA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Codice Fiscale;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.CODICE_FISCALE
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Partita IVA;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.PARTITA_IVA
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Numero di telefono;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.NUMERO_DI_TELEFONO
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Email;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.EMAIL
Posizione.dettagli.collegamenti.sezione collegato.Cointestatari.elenco.Cointestatario Primario;POSIZIONE.DETTAGLI.COLLEGAMENTI.SEZIONE_COLLEGATO.COINTESTATARI.ELENCO.COINTESTATARIO_PRIMARIO
Posizione.Dettagli.Gruppo Economico.Sezione gruppo.Elenco.Codice Gruppo economico;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_GRUPPO.ELENCO.CODICE_GRUPPO_ECONOMICO
Posizione.Dettagli.Gruppo Economico.Sezione gruppo.Elenco.Denominazione Gruppo economico;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_GRUPPO.ELENCO.DENOMINAZIONE_GRUPPO_ECONOMICO
Posizione.Dettagli.Gruppo Economico.Sezione gruppo.Elenco.GBV gruppo economico;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_GRUPPO.ELENCO.GBV_GRUPPO_ECONOMICO
﻿Chiave;CHIAVE
dev.testChiave;DEV.TEST_CHIAVE
dev.testChiave2;DEV.TEST_CHIAVE2
dev.child.testChiave;DEV.CHILD.TEST_CHIAVE
dev.child.testChiave2;DEV.CHILD.TEST_CHIAVE2
dev.default.values.all;DEV.DEFAULT.VALUES.ALL
dev.default.values.si;DEV.DEFAULT.VALUES.SI
dev.default.values.no;DEV.DEFAULT.VALUES.NO
dev.default.values.from;DEV.DEFAULT.VALUES.FROM
dev.default.values.to;DEV.DEFAULT.VALUES.TO
dev.default.values.others;DEV.DEFAULT.VALUES.OTHERS
dev.default.values.residential;DEV.DEFAULT.VALUES.RESIDENTIAL
dev.default.values.notResidential;DEV.DEFAULT.VALUES.NOT_RESIDENTIAL
dev.default.values.new;DEV.DEFAULT.VALUES.NEW
dev.default.values.used;DEV.DEFAULT.VALUES.USED
dev.default.values.selezionare;DEV.DEFAULT.VALUES.SELEZIONARE
dev.default.values.sec;DEV.DEFAULT.VALUES.SEC
dev.default.values.unsec;DEV.DEFAULT.VALUES.UNSEC
Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Titolo;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.TITOLO
Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Elenco.Denominazione NDG;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.ELENCO.DENOMINAZIONE_NDG
