Carica file assegnazione segmento.errore.manca foglio;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.MANCA_FOGLIO
Carica file assegnazione segmento.errore.colonne errate;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.COLONNE_ERRATE
Carica file assegnazione segmento.errore.nessuna riga;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NESSUNA_RIGA
Carica file assegnazione segmento.errore.Portafoglio;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.PORTAFOGLIO
NumeroRiga contiene il numero della riga su cui è stato rilevato il portafoglio non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_IL_PORTAFOGLIO_NON_CORRETTO
Carica file assegnazione segmento.errore.NDG;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NDG
NumeroRiga contiene il numero della riga su cui è stato rilevato l'NDG non corretto";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_L_NDG_NON_CORRETTO
Carica file assegnazione segmento.errore.Segmento;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.SEGMENTO
NumeroRiga contiene il numero della riga su cui è stato rilevato un segmento non valido";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_UN_SEGMENTO_NON_VALIDO
Carica file assegnazione segmento.errore.codice portafoglio non omogeneo;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.CODICE_PORTAFOGLIO_NON_OMOGENEO
Carica file assegnazione segmento.errore.NDG ripetuto;CARICA_FILE_ASSEGNAZIONE_SEGMENTO.ERRORE.NDG_RIPETUTO
Carica file assegnazione gruppo economico.errore.manca foglio;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.MANCA_FOGLIO
Carica file assegnazione gruppo economico.errore.colonne errate;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.COLONNE_ERRATE
Carica file assegnazione gruppo economico.errore.nessuna riga;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.NESSUNA_RIGA
Carica file assegnazione gruppo economico.errore.NDG;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.NDG
NumeroRiga contiene il numero della riga su cui è stato rilevato l'NDG inesistente";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_L_NDG_INESISTENTE
Carica file assegnazione gruppo economico.errore.codice gruppo duplicato;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.CODICE_GRUPPO_DUPLICATO
NumeroRiga contiene il numero della riga su cui è presente il codice gruppo economico non univoco all'interno del sistema;NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_PRESENTE_IL_CODICE_GRUPPO_ECONOMICO_NON_UNIVOCO_ALL_INTERNO_DEL_SISTEMA
CodiceGruppo è il codice gruppo economico non univoco all'interno del sistema";CODICE_GRUPPO_E_IL_CODICE_GRUPPO_ECONOMICO_NON_UNIVOCO_ALL_INTERNO_DEL_SISTEMA
Carica file assegnazione gruppo economico.errore.gruppo economico;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.GRUPPO_ECONOMICO
NumeroRiga contiene il numero della riga su cui è stato rilevato il gruppo economico inesistente";NUMERO_RIGA_CONTIENE_IL_NUMERO_DELLA_RIGA_SU_CUI_E_STATO_RILEVATO_IL_GRUPPO_ECONOMICO_INESISTENTE
Carica file assegnazione gruppo economico.errore.NDG ripetuto;CARICA_FILE_ASSEGNAZIONE_GRUPPO_ECONOMICO.ERRORE.NDG_RIPETUTO
Login.titolo;LOGIN.TITOLO
Login.data entry.nome utente;LOGIN.DATA_ENTRY.NOME_UTENTE
Login.data entry.password;LOGIN.DATA_ENTRY.PASSWORD
Login.data entry.Nome utente;LOGIN.DATA_ENTRY.NOME_UTENTE
Login.errore.credenziali non valide;LOGIN.ERRORE.CREDENZIALI_NON_VALIDE
Posizione.Toolbar.Note.Titolo;POSIZIONE.TOOLBAR.NOTE.TITOLO
Posizione.Toolbar.Note.Data entry.Titolo;POSIZIONE.TOOLBAR.NOTE.DATA_ENTRY.TITOLO
Posizione.Toolbar.Note.Data entry.Testo nota;POSIZIONE.TOOLBAR.NOTE.DATA_ENTRY.TESTO_NOTA
Posizione.Toolbar.Note.Azioni.Aggiungi nota;POSIZIONE.TOOLBAR.NOTE.AZIONI.AGGIUNGI_NOTA
Posizione.Toolbar.Note.Azioni.Conferma inserimento;POSIZIONE.TOOLBAR.NOTE.AZIONI.CONFERMA_INSERIMENTO
Posizione.Toolbar.Note.Azioni.Annulla Inserimento;POSIZIONE.TOOLBAR.NOTE.AZIONI.ANNULLA_INSERIMENTO
Posizione.Toolbar.Note.Azioni.Cancellazione Nota;POSIZIONE.TOOLBAR.NOTE.AZIONI.CANCELLAZIONE_NOTA
Posizione.Toolbar.Note.Azioni.Modifica Nota;POSIZIONE.TOOLBAR.NOTE.AZIONI.MODIFICA_NOTA
Posizione.Toolbar.Note.Azioni.Conferma modifica;POSIZIONE.TOOLBAR.NOTE.AZIONI.CONFERMA_MODIFICA
Posizione.Toolbar.Note.Azioni.Annulla modifica;POSIZIONE.TOOLBAR.NOTE.AZIONI.ANNULLA_MODIFICA
Posizione.Toolbar.Note.Azioni.Ricerca nota;POSIZIONE.TOOLBAR.NOTE.AZIONI.RICERCA_NOTA
Posizione.Toolbar.Note.Azioni.messaggio conferma cancellazione;POSIZIONE.TOOLBAR.NOTE.AZIONI.MESSAGGIO_CONFERMA_CANCELLAZIONE
Posizione.Toolbar.Note.Azioni.messaggio conferma uscita;POSIZIONE.TOOLBAR.NOTE.AZIONI.MESSAGGIO_CONFERMA_USCITA
Posizione.Toolbar.Note.Azioni.conferma;POSIZIONE.TOOLBAR.NOTE.AZIONI.CONFERMA
Posizione.Toolbar.Note.Azioni.annulla;POSIZIONE.TOOLBAR.NOTE.AZIONI.ANNULLA
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Titolo;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.TITOLO
Stato identifica se il contenzioso in oggetto è ancora in corso o chiuso";STATO_IDENTIFICA_SE_IL_CONTENZIOSO_IN_OGGETTO_E_ANCORA_IN_CORSO_O_CHIUSO
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Titolo in creazione;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.TITOLO_IN_CREAZIONE
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Titolo in modifica;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.TITOLO_IN_MODIFICA
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Data inizio;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.DATA_INIZIO
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Data fine;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.DATA_FINE
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Tipo contenzioso;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.TIPO_CONTENZIOSO
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Soggetti collegati;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.SOGGETTI_COLLEGATI
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Altri soggetti;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.ALTRI_SOGGETTI
Posizione.Dettagli.Contenzioso.Sezione Contenzioso.Elenco.Note;POSIZIONE.DETTAGLI.CONTENZIOSO.SEZIONE_CONTENZIOSO.ELENCO.NOTE
Posizione.Dettagli.Contenzioso.Azioni.Aggiungi contenzioso;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.AGGIUNGI_CONTENZIOSO
Posizione.Dettagli.Contenzioso.Azioni.Conferma inserimento;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.CONFERMA_INSERIMENTO
Posizione.Dettagli.Contenzioso.Azioni.Annulla Inserimento;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.ANNULLA_INSERIMENTO
Posizione.Dettagli.Contenzioso.Azioni.Conferma modifica;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.CONFERMA_MODIFICA
Posizione.Dettagli.Contenzioso.Azioni.Annulla modifica;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.ANNULLA_MODIFICA
Posizione.Dettagli.Contenzioso.Azioni.messaggio conferma cancellazione;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.MESSAGGIO_CONFERMA_CANCELLAZIONE
Posizione.Dettagli.Contenzioso.Azioni.Conferma;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.CONFERMA
Posizione.Dettagli.Contenzioso.Azioni.Annulla;POSIZIONE.DETTAGLI.CONTENZIOSO.AZIONI.ANNULLA
Posizione.Dettagli.Contenzioso.Nessun contenzioso;POSIZIONE.DETTAGLI.CONTENZIOSO.NESSUN_CONTENZIOSO
Posizione.dettagli.centrale Rischi.Fenomeno.Crediti per cassa   ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti per Cassa.Rischi.autoliquidanti ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA.RISCHI.AUTOLIQUIDANTI
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti per Cassa.Rischi a scadenza ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA.RISCHI_A_SCADENZA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti per Cassa.Rischi a Revoca ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA.RISCHI_A_REVOCA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti per Cassa.Finanz. a proc. Conc. e altri fin. particolari ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA.FINANZ.A_PROC._CONC._E_ALTRI_FIN._PARTICOLARI
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti per Cassa.Sofferenze;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_PER_CASSA.SOFFERENZE
Posizione.Dettagli.Centrale Rischi.Fenomeno.Creditidi Firma ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITIDI_FIRMA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti di Firma. Garanzie connesse con operazioni di natura commerciale ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_DI_FIRMA.GARANZIE_CONNESSE_CON_OPERAZIONI_DI_NATURA_COMMERCIALE
Posizione.Dettagli.Centrale Rischi.Fenomeno.Crediti di Firma. Garanzie connesse con operazioni di natura finanziaria ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.CREDITI_DI_FIRMA.GARANZIE_CONNESSE_CON_OPERAZIONI_DI_NATURA_FINANZIARIA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Garanzie ricevute ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.GARANZIE_RICEVUTE
Posizione.Dettagli.Centrale Rischi.Fenomeno.Derivati finanziari ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.DERIVATI_FINANZIARI
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione informativa ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Crediti per cassa: operazioni in pool azienda capofila ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_PER_CASSA_OPERAZIONI_IN_POOL_AZIENDA_CAPOFILA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Crediti per cassa: operazioni in “pool” - azienda capofila ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_PER_CASSA_OPERAZIONI_IN_POOL_AZIENDA_CAPOFILA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Crediti per cassa: operazioni in “pool” – altra azienda partecipante ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_PER_CASSA_OPERAZIONI_IN_POOL_ALTRA_AZIENDA_PARTECIPANTE
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Crediti per cassa: operazioni in “pool” – totale ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_PER_CASSA_OPERAZIONI_IN_POOL_TOTALE
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Crediti acquisiti da clientela diversa da intermediari – debitori ceduti ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_ACQUISITI_DA_CLIENTELA_DIVERSA_DA_INTERMEDIARI_DEBITORI_CEDUTI
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Rischi autoliquidanti crediti scaduti ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.RISCHI_AUTOLIQUIDANTI_CREDITI_SCADUTI
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa. Sofferenze crediti passati a perdita ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.SOFFERENZE_CREDITI_PASSATI_A_PERDITA
Posizione.Dettagli.Centrale Rischi.Fenomeno.Sezione Informativa.Crediti ceduti a terzi ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.FENOMENO.SEZIONE_INFORMATIVA.CREDITI_CEDUTI_A_TERZI
Posizione.dettagli.centrale rischi.Stato Rapporto ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.STATO_RAPPORTO
Posizione.dettagli.centrale rischi.Sezione Portafoglio.;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Accordato ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.ACCORDATO
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Utilizzato;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.UTILIZZATO
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Valore garanzia ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.VALORE_GARANZIA
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Importo Garantito ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.IMPORTO_GARANTITO
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Altri importi ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.ALTRI_IMPORTI
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Sconfino  ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.SCONFINO
Posizione.dettagli.centrale rischi.Sezione Portafoglio.Margine ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_PORTAFOGLIO.MARGINE
Posizione.dettagli.centrale rischi.Sezione Sistema;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA
Posizione.dettagli.centrale rischi.Sezione Sistema.Accordato ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.ACCORDATO
Posizione.dettagli.centrale rischi.Sezione Sistema.Utilizzato;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.UTILIZZATO
Posizione.dettagli.centrale rischi.Sezione Sistema.Valore garanzia ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.VALORE_GARANZIA
Posizione.dettagli.centrale rischi.Sezione Sistema.Importo Garantito ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.IMPORTO_GARANTITO
Posizione.dettagli.centrale rischi.Sezione Sistema.Altri importi ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.ALTRI_IMPORTI
Posizione.dettagli.centrale rischi.Sezione Sistema.Sconfino  ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.SCONFINO
Posizione.dettagli.centrale rischi.Sezione Sistema.Margine ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_SISTEMA.MARGINE
Posizione.dettagli.centrale rischi.Sezione Calcolato;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_CALCOLATO
Posizione.dettagli.centrale rischi.Sezione Calcolato.Accordato;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_CALCOLATO.ACCORDATO
Posizione.dettagli.centrale rischi.Sezione Calcolato.Sow;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.SEZIONE_CALCOLATO.SOW
Posizione.dettagli.centrale rischi.Elenco.filtri.Soggetto;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.SOGGETTO
Posizione.dettagli.centrale rischi.Elenco.filtri.Tipo Visualizzazione;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.TIPO_VISUALIZZAZIONE
Posizione.dettagli.centrale rischi.Elenco.filtri.Tipo Visualizzazione.mese;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.TIPO_VISUALIZZAZIONE.MESE
Posizione.dettagli.centrale rischi.Elenco.filtri.Tipo Visualizzazione.Andamentale;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.TIPO_VISUALIZZAZIONE.ANDAMENTALE
Posizione.dettagli.centrale rischi.Elenco.filtri.Mese e anno di riferimento ;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.MESE_E_ANNO_DI_RIFERIMENTO
Posizione.dettagli.centrale rischi.Elenco.filtri.Fenomeno;POSIZIONE.DETTAGLI.CENTRALE_RISCHI.ELENCO.FILTRI.FENOMENO
Posizone.dettagli.centrale rischi.campi testata.elenco.Codice CR ;POSIZONE.DETTAGLI.CENTRALE_RISCHI.CAMPI_TESTATA.ELENCO.CODICE_CR
Posizone.dettagli.centrale rischi.campi testata.elenco.Codice Fiscale ;POSIZONE.DETTAGLI.CENTRALE_RISCHI.CAMPI_TESTATA.ELENCO.CODICE_FISCALE
Posizone.dettagli.centrale rischi.campi testata.elenco.Partita Iva;POSIZONE.DETTAGLI.CENTRALE_RISCHI.CAMPI_TESTATA.ELENCO.PARTITA_IVA
Posizone.dettagli.centrale rischi.campi testata.elenco.N° soggetti segnalanti;POSIZONE.DETTAGLI.CENTRALE_RISCHI.CAMPI_TESTATA.ELENCO.N_SOGGETTI_SEGNALANTI
Posizone.dettagli.centrale rischi.nessun dato disponibile;POSIZONE.DETTAGLI.CENTRALE_RISCHI.NESSUN_DATO_DISPONIBILE
Posizione.Toolbar.Contatti.Titolo;POSIZIONE.TOOLBAR.CONTATTI.TITOLO
Posizione.Toolbar.Contatti.Dati Advisor.Titolo;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.TITOLO
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.Denominazione Advisor;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.DENOMINAZIONE_ADVISOR
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.Partita iva;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.PARTITA_IVA
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.Categoria;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.CATEGORIA
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.Riferimento;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.RIFERIMENTO
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.Telefono;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.TELEFONO
Posizione.Toolbar.Contatti.Dati Advisor.Elenco.PEC;POSIZIONE.TOOLBAR.CONTATTI.DATI_ADVISOR.ELENCO.PEC
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Titolo;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.TITOLO
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Denominazione Contatto;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.DENOMINAZIONE_CONTATTO
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Ruolo;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.RUOLO
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Telefono1;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.TELEFONO1
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Telefono2;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.TELEFONO2
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Email;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.EMAIL
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.PEC;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.PEC
Posizione.Toolbar.Contatti.Dati Contatto Aggiuntivo.Elenco.Note;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO_AGGIUNTIVO.ELENCO.NOTE
Posizione.Toolbar.Contatti.Dati Contatto.Titolo;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.TITOLO
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Denominazione Contatto;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.DENOMINAZIONE_CONTATTO
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Ruolo;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.RUOLO
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Telefono1;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.TELEFONO1
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Telefono2;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.TELEFONO2
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Email;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.EMAIL
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.PEC;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.PEC
Posizione.Toolbar.Contatti.Dati Contatto.Elenco.Note;POSIZIONE.TOOLBAR.CONTATTI.DATI_CONTATTO.ELENCO.NOTE
Posizione.Toolbar.Contatti.Azioni.Aggiungi Contatto ;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.AGGIUNGI_CONTATTO
Posizione.Toolbar.Contatti.Azioni.Conferma Inserimento;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.CONFERMA_INSERIMENTO
Posizione.Toolbar.Contatti.Azioni.Annulla Inserimento;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.ANNULLA_INSERIMENTO
Posizione.Toolbar.Contatti.Azioni.messaggio conferma uscita;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.MESSAGGIO_CONFERMA_USCITA
Posizione.Toolbar.Contatti.Azioni.messaggio di conferma cancellazione;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.MESSAGGIO_DI_CONFERMA_CANCELLAZIONE
Posizione.Toolbar.Contatti.Azioni.Conferma Modifica;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.CONFERMA_MODIFICA
Posizione.Toolbar.Contatti.Azioni.Annulla Modifica;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.ANNULLA_MODIFICA
Posizione.Toolbar.Contatti.Azioni.Conferma;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.CONFERMA
Posizione.Toolbar.Contatti.Azioni.Annulla;POSIZIONE.TOOLBAR.CONTATTI.AZIONI.ANNULLA
Posizione.Toolbar.Contatti.Data entry.Tipo contatto;POSIZIONE.TOOLBAR.CONTATTI.DATA_ENTRY.TIPO_CONTATTO
Posizione.Toolbar.Contatti.Placeholder.Seleziona;POSIZIONE.TOOLBAR.CONTATTI.PLACEHOLDER.SELEZIONA
